fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,stockMissingType,weekday,quarter,month,weekofyear,deltaStock,roll4wd_udsventa,roll4wd_udsstock,roll4wd_udsprevisionempresa
2019-06-08,45,,146.0,1544.0,0.0,0.0,2.0,5,2,6,23,,146.0,,1544.0
2019-06-08,46,,615.0,4007.0,0.0,0.0,2.0,5,2,6,23,,615.0,,4007.0
2019-06-08,48,,619.0,2841.0,0.0,0.0,2.0,5,2,6,23,,619.0,,2841.0
2019-06-08,49,,787.0,10724.0,0.0,0.0,2.0,5,2,6,23,,787.0,,10724.0
2019-06-08,5,,1409.0,31097.0,0.0,0.0,2.0,5,2,6,23,,1409.0,,31097.0
2019-06-08,50,,81.0,4938.0,0.0,0.0,2.0,5,2,6,23,,81.0,,4938.0
2019-06-08,52,,66.0,922.0,0.0,0.0,2.0,5,2,6,23,,66.0,,922.0
2019-06-08,53,,523.0,7354.0,0.0,0.0,2.0,5,2,6,23,,523.0,,7354.0
2019-06-08,55,,639.0,2961.0,0.0,0.0,2.0,5,2,6,23,,639.0,,2961.0
2019-06-08,57,,,,0.0,0.0,2.0,5,2,6,23,,,,
