producto,fecha,udsprevisionempresa
74,2019-03-11,5427
81,2019-03-12,4608
54,2019-03-12,3728
62,2019-03-12,2706
50,2019-03-12,3267
31,2019-03-12,5033
76,2019-03-12,2190
73,2019-03-12,2350
97,2019-03-12,726
33,2019-03-12,6163
10,2019-03-12,8752
17,2019-03-12,3803
91,2019-03-12,2222
69,2019-03-12,3952
20,2019-03-12,7010
87,2019-03-12,2377
68,2019-03-12,1702
88,2019-03-12,1282
36,2019-03-12,3769
44,2019-03-12,4476
5,2019-03-12,20653
57,2019-03-12,2521
15,2019-03-12,6659
26,2019-03-12,4969
11,2019-03-12,13114
34,2019-03-12,15340
43,2019-03-12,4329
22,2019-03-12,3053
46,2019-03-12,4414
7,2019-03-12,14878
63,2019-03-12,3301
38,2019-03-12,3600
9,2019-03-12,9918
28,2019-03-12,5687
66,2019-03-12,2459
72,2019-03-12,2863
96,2019-03-12,1484
78,2019-03-12,1354
64,2019-03-12,3788
47,2019-03-12,5417
23,2019-03-12,6230
35,2019-03-12,5667
1,2019-03-12,52710
55,2019-03-12,3800
16,2019-03-12,8487
59,2019-03-12,1838
13,2019-03-12,8078
70,2019-03-12,2749
94,2019-03-12,1412
45,2019-03-12,3487
21,2019-03-12,6028
67,2019-03-12,3153
24,2019-03-12,9240
53,2019-03-12,5353
98,2019-03-12,1637
49,2019-03-12,5554
74,2019-03-12,3703
48,2019-03-12,3745
12,2019-03-12,10364
3,2019-03-12,13886
92,2019-03-12,425
89,2019-03-12,1677
30,2019-03-12,4937
42,2019-03-12,3586
37,2019-03-12,1570
79,2019-03-12,2433
14,2019-03-12,8580
18,2019-03-12,8974
4,2019-03-12,22080
52,2019-03-12,3398
77,2019-03-12,1021
71,2019-03-12,3027
61,2019-03-12,3516
60,2019-03-12,1358
19,2019-03-12,7831
83,2019-03-12,6178
2,2019-03-12,24230
95,2019-03-12,1810
82,2019-03-12,2676
85,2019-03-12,870
29,2019-03-12,6356
40,2019-03-12,4999
84,2019-03-12,1183
32,2019-03-12,5980
58,2019-03-12,118
75,2019-03-12,1642
97,2019-03-13,2061
13,2019-03-13,9696
12,2019-03-13,12321
68,2019-03-13,2392
23,2019-03-13,12522
49,2019-03-13,7243
72,2019-03-13,2819
84,2019-03-13,1303
95,2019-03-13,2435
73,2019-03-13,3617
32,2019-03-13,6938
96,2019-03-13,2613
28,2019-03-13,6937
35,2019-03-13,7563
24,2019-03-13,12290
61,2019-03-13,4009
47,2019-03-13,5552
5,2019-03-13,26565
99,2019-03-13,3645
48,2019-03-13,4797
42,2019-03-13,5479
19,2019-03-13,8597
88,2019-03-13,1205
54,2019-03-13,5182
15,2019-03-13,8312
71,2019-03-13,2706
34,2019-03-13,10762
64,2019-03-13,4632
30,2019-03-13,5881
93,2019-03-13,3140
91,2019-03-13,1804
22,2019-03-13,6087
1,2019-03-13,44067
58,2019-03-13,150
33,2019-03-13,7505
45,2019-03-13,4366
44,2019-03-13,6359
83,2019-03-13,1663
26,2019-03-13,4646
60,2019-03-13,1735
40,2019-03-13,6904
69,2019-03-13,6011
55,2019-03-13,4449
14,2019-03-13,10649
46,2019-03-13,5728
